公司名称,股票代码,顶格申购金额,发行价格,收盘价,网上中签率,一签获利,上市日期,inc,
尤安设计,300983,200000,120.8,130.06,0.01317,10710,2021/4/20,141.0507,
深圳瑞捷,300977,110000,89.66,102,0.01063,11950,2021/4/20,127.0285,
万辰生物,300972,105000,7.19,27.3,0.01781,10175,2021/4/19,181.21675,
达瑞电子,300976,130000,168,231,0.01088,39995,2021/4/19,435.1456,
上声电子,688533,100000,7.72,32.18,0.02904,9375,2021/4/19,272.25,
龙高股份,605086,120000,12.86,18.52,0.02639,19930,2021/4/16,525.9527,
立高食品,300973,105000,28.28,103,0.01765,31910,2021/4/15,563.2115,
英利汽车,601279,440000,2.07,2.98,0.06572,8230,2021/4/15,540.8756,
博亚精工,300971,55000,18.24,45.26,0.0166,15920,2021/4/15,264.272,
格林精密,300968,175000,6.87,21.81,0.02608,8740,2021/4/15,227.9392,
新风光,688663,90000,14.48,22.25,0.02989,4395,2021/4/13,131.36655,
诺禾致源,688315,65000,12.76,27.4,0.03303,6595,2021/4/13,217.83285,
晓鸣股份,300967,130000,4.54,30.95,0.02011,13295,2021/4/13,267.36245,
莱尔科技,688683,90000,9.51,17.66,0.02973,4915,2021/4/12,146.12295,
杭州柯林,688611,35000,33.44,56.3,0.02981,12270,2021/4/12,365.7687,
野马电池,605378,130000,17.62,25.37,0.02676,22030,2021/4/12,589.5228,
